date,company,narrative,location1,location2,city,weather,lighting,veh1_dir,veh2_dir,veh1_speed,veh2_speed,type,headon,sideswipe,rearend,broadside,hitobject,overturned,vehped,other_type,revision_star
7/8/18,Cruise,"A Cruise AV was involved in an incident on westbound Sutter Street at the intersection with Sansome Street when a jaywalking pedestrian approached the Cruise AV and intentionally stepped up onto the hood of the vehicle while the Cruise AV was stopped at a red light, resulting in a dent on the hood. The pedestrian then stepped off and walked away. There were no injuries and the police were not called. ",Intersection,"Sutter Street, Sansome Street ",San Francisco,Clear,Daylight,Stopped,N/A,N/A,N/A,vehped,0,0,0,0,0,0,1,0,2
6/29/18,Cruise,The Cruise AV was struck on its left rear corner by another vehicle making a left turn from eastbound 17th Street onto Mission Street. This caused damage to the Cruise AV' s rear bumper.,Intersection,"eastbound 17th Street, Mission Street",San Francisco,Clear,Daylight,Proceeding Straight,Making Left Turn,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
6/22/18,Cruise,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling westbound on El Camino Del Mar between 32nd Ave and Legion of Honor Drive. The Cruise AV was struck by agolf ball from a nearby golf course causing damage to the Cruise AV's front driver windshield. There were no injuries and police were not called. ",Roadway,"El Camino Del Mar, 32nd Ave and Legion of Honor Drive",San Francisco,Clear,Daylight,Proceeding Straight,N/A,N/A,N/A,other,0,0,0,0,0,0,0,1,2
6/11/18,Cruise,"A Cruise autonomous vehicle (""Cruise AV"") was rear-ended while operating in autonomous mode on Bryant Street between 10th Street and 11th Street. The Cruise AV had just made a left turn from 11th Street onto Bryant when a second Cruise autonomous vehicle directly behind operating in conventional mode contacted the rear bumper of the Cruise AV, causing minor scuffs to both vehicles. There were no injuries and the police were not called. ",Roadway,"11th Street, Bryant",San Francisco,Clear,Daylight,Proceeding Straight/Slowing/Stopping,Proceeding Straight,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
6/3/18,Cruise,"A Cruise autonomous vehicle (""Cruise AV"") was involved in a collision while operating in autonomous mode southbound on Hyde Street at the intersection with Washington Street. The Cruise AV was stopped waiting for traffic to clear the intersection before making a left turn onto Washington Street. Another vehicle directly behind the Cruise AV collided with the Cruise AV, damaging the center of the rear bumper. The driver of the Cruise AV later experienced stiffness in his neck, sought treatment, and was released to return to work the next day. The police were not called. ",Intersection,"Hyde Street, Washington Street",San Francisco,Clear,Dusk-Dawn,Stopped,Proceeding Straight,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
5/25/18,Waymo,"A Waymo AV in autonomous mode was broadsided while stationary in a parking lot at 100 Mayfield Ave in Mountain View, CA. The Waymo AV was stopped for approximately 65 seconds when a vehicle backing out of a parking spot madecontact with the Waymo AV's driver's-side sliding door and rear quarter panel at approximately 2 mph. ",Parking lot,100 Mayfield Avenue,Mountain View,Cloudy,Daylight,Stopped/Parked,Backing/Parking Manuever,0,2,broadside,0,0,0,1,0,0,0,0,1
5/22/18,Jingchi,"The vehicle was in autonomous mode making a right turn on red from Borregas to Gibraltar at 10:50 AM Tuesday May 22, 2018. The car came to a complete stop, proceeded slowly and then stopped again to yield for other traffic. The other vehicle collided with the rear bumper of the autonomous vehicle while the autonomous vehicle was at a stop. The other vehicle was moving <5 MPH. There were no injuries and minimal damage to the bumper ofthe autonomous car, a few scratches. The other vehicle had minimal damage to the front bumper, a few scratches. ",Intersection,"Borregas, Caribbean",Sunnyvale,Cloudy,Daylight,Stopped,Making Right Turn,0,5,rearend,0,0,1,0,0,0,0,0,0
5/22/18,Cruise,"A Cruise autonomous vehicle (""Cruise AV"") was involved in a collision while operating in autonomous mode on the northbound side of Powell Street between Washington and Jackson Streets. The Cruise AV was stopped waiting for a pedestrian to clear the crosswalk then initiated a right turn onto Jackson Street. Another vehicle directly behind the Cruise AV rear ended the Cruise AV, damaging the rear bumper. There were no injuries and the police were not called. ",Intersection,"Powell Street, Jackson Street",San Francisco,Cloudy,Daylight,Making Right Turn,Proceeding Straight,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
5/13/18,Cruise,"A Cruise autonomous vehicle (""Cruise AV""), was involved in a collision while operating in autonomous mode, on the northbound side of Franklin Street between Vallejo and Green Streets. The Cruise AV was stopped waiting to maneuver around a double-parked vehicle. Another vehicle directly behind the Cruise AV attempted to pass the Cruise AV on the left, and in doing so clipped the left rear cornerof the Cruise AV as it passed , damaging the bumper and left rear sensor. The other vehicle did not stop. One of the Cruise AV testers sitting in the front passenger seat later reported stiffness in his neck but did not seek medical treatment. The police were not called. ",Roadway,"Franklin Street, Vallejo Street",San Francisco,Clear,Dark-Street Lights,Stopped,Passing other vehicles,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
4/6/18,Waymo,"A Waymo autonomous vehicle (""Waymo AV"") in autonomous mode was rear-ended while stopped at a red light at the intersection of north Grant Rd and Covington Rd in Mountain View, CA. The Waymo AV was stopped for approximately 9 seconds when a vehicle approaching from behind made contact with the rear bumper of the A V at approximately 3 mph. There were no injuries reported at the scene by either party. The police were notified that the driver of the other vehicle left the scene without exchanging vehicle and insurance information. ",Intersection,"Grant Road, Covington Road",Mountain View,Clear,Daylight,Stopped,Proceeding Straight,0,3,rearend,0,0,1,0,0,0,0,0,1
3/27/18,Cruise,"A Cruise autonomous vehicle (""Cruise AV""),was involved in a collision while operating in autonomous mode, traveling in heavy traffic northbound on Ninth Street between Howard and Folsom Streets. A vehicle behind the Cruise AV was changing multiple lanes from the lane to the right of the Cruise AV across to the lane to the left of the Cruise AV. While completing that movement, the other vehicle clipped the corner of the Cruise AV. There were no injuries and the police were not called. ",Intersection,"Ninth St, Howard St",San Francisco,Clear,Daylight,Proceeding Straight,Passing other vehicles,N/A,N/A,sideswipe,0,1,0,0,0,0,0,0,2
3/24/18,Cruise,"A Cruise autonomous vehicle (""Cruise AV""), was involved in a collision while operating in autonomous mode, driving eastbound on Francisco Street between Broderick and Divisadero. While approaching a stop sign, the Cruise AV was rear ended causing damage to the rear bumper. The driver ofthe Cruise AV later experience stiffness in his neck, sought treatment and was released to return to work. The police were not called. ",Intersection,"Sutter St, Grant St",San Francisco,Clear,Dark-Street Lights,Stopped,Proceeding Straight,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
3/19/18,Cruise," A van directly behind the Cruise AV continued straight from the same left turn only lane, clipping the back right of the Cruise AV as it passed and damaging the bumper and back right sensor. ",Intersection,"Howard St, Hawthorne St",San Francisco,Clear,Dark-Street Lights,Making Left Turn ,Proceeding Straight,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
3/14/18,Cruise,"A Cruise autonomous vehicle. (""Cruise AV""), was involved in a collision while operating in autonomous mode, traveling westbound on McAllister Street at the intersection of Polk Street. Another attempted er vehicle to pass the Cruise AV on the right but crossed. intoits lane, scraping the Cruise A V's right sensor. There were no injuries and police were not called.",Intersection,"McAllister Street, Polk Street",San Francisco,Clear,Dark-Street Lights,Proceeding Straight,Passing other vehicles,N/A,N/A,sideswipe,0,1,0,0,0,0,0,0,2
2/20/18,Cruise,"A Cruise autonomous vehicle ( ""Cruise AV""), operating in autonomous mode, was completing a left turn from North Point Street onto The Embarcadero. A vehicle behind the Cruise AV also turning left onto The Embarcadero tried to pass the Cruise AV on the left, and while passing turned back into the Cruise A V ' s lane too tightly and clipped the Cruise AV's front left sensor. damaging the sensor and the other vehicle's front right passenger door, There were no injuries and po1ice were not called.",Intersection,"North Point St, Embarcadero",San Francisco,Clear,Dark-Street Lights,Making Left Turn ,Making Left Turn,N/A,N/A,sideswipe,0,1,0,0,0,0,0,0,2
1/18/18,Zoox,"The collision occurred while the Zoox AV was intending to make a right turn at a green light. The Zoox AV had slowly decelerated from a low speed and stopped, waiting for a pedestrian to clear the intersection, when the Hyundai's front, passenger-side bumper made contact with the Zoox AV's driver-side rear bumper and sensor. At the time of collision, the Hyundai was traveling at just under 4 MPH and was slightly accelerating towards the Zoox AV prior to impact. ",Intersection,"Pacific Ave, Sansome St",San Francisco ,Clear,Daylight,Stopped,Slowing/Stopping,4,0,rearend,0,0,1,0,0,0,0,0,0
1/8/18,Cruise,"The Cruise AV was driving in its lane when a cargo truck tried to overtake it on the left side. As it passed the Cruise AV, the truck clipped the Cruise AV's left front articulating radar. ",Intersection,"Kansas St, Mariposa St",San Francisco,Clear,Daylight,Proceeding Straight,Passing other vehicles,N/A,N/A,sideswipe,0,1,0,0,0,0,0,0,2
1/2/18,Cruise,"This statement is amended from the original filed on 1/10/2018 to correct the phrase ""sustained some damage to its right rear light"" by replacing the phrase with ""sustained some damage to its left rear light"". A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was involved in a collision while making a right hand turn from northbound Valencia Street onto 16th Street. The Cruise AV was stopped at a green light in between crosswalks of Valencia Street and 16th Street, waiting for pedestrians to cross over 16th Street. A different pedestrian from the southwest corner of Valencia and 16th ran across Valencia Street, against the ""do not walk"" symbol, shouting, and struck the left side of the Cruise AV's rear bumper and hatch with his entire body. There were no injuries but the Cruise AV sustained some damage to its left rear light. The police were not called.",Intersection,"Valencia St, 16th St",San Francisco,Clear,Daylight,Stopped,N/A,N/A,N/A,vehped,0,0,0,0,0,0,1,0,2
